,latitude,longitude,property_type,num_bathrooms,num_bedrooms,num_floors,num_recepts,new_home,loc_class,price
1273,50.945206,-2.7553240000000003,Terraced house,1.0,2.0,0.0,2.0,0.0,3,220000.0
1274,51.21024,-2.682498,Detached house,0.0,4.0,2.0,3.0,1.0,1,445995.0
1275,51.21024,-2.682498,Semi-detached house,0.0,3.0,2.0,2.0,1.0,4,326995.0
1276,51.21024,-2.682498,Semi-detached house,0.0,3.0,2.0,2.0,1.0,4,361995.0
1277,50.932503,-2.6627490000000003,Semi-detached house,1.0,3.0,0.0,2.0,0.0,4,195000.0
1278,51.06753,-2.461148,Detached house,3.0,4.0,0.0,3.0,0.0,1,850000.0
1279,50.978867,-2.992587,Detached house,2.0,4.0,0.0,2.0,0.0,1,300000.0
1280,51.24156,-2.315207,Detached house,1.0,3.0,0.0,2.0,0.0,1,310000.0
1281,51.225166,-2.325176,End terrace house,0.0,3.0,0.0,0.0,0.0,19,220000.0
1282,51.359467,-2.896537,Detached house,1.0,3.0,0.0,2.0,0.0,1,270000.0
1283,51.362534,-2.895132,Semi-detached house,2.0,3.0,0.0,1.0,0.0,4,235000.0
1284,51.36004000000001,-2.956038,Detached house,2.0,4.0,0.0,2.0,0.0,1,500000.0
1285,50.959194,-2.600693,Terraced house,1.0,2.0,0.0,1.0,0.0,3,180000.0
1286,50.918118,-2.617661,Detached bungalow,1.0,3.0,0.0,2.0,0.0,8,300000.0
1287,51.241577,-2.398094,Terraced house,1.0,3.0,0.0,1.0,0.0,3,300000.0
1288,51.018753,-2.958709,Equestrian property,3.0,5.0,0.0,3.0,0.0,-1,875000.0
1289,50.99814,-3.0866830000000003,Detached house,3.0,5.0,0.0,4.0,0.0,1,577500.0
1290,50.93389000000001,-2.703454,Terraced house,1.0,3.0,0.0,1.0,0.0,3,205000.0
1291,50.880074,-2.7944400000000003,Semi-detached house,1.0,3.0,0.0,1.0,0.0,4,200000.0
1292,50.95365,-2.6709650000000003,Detached house,1.0,4.0,0.0,2.0,0.0,1,310000.0
1293,51.274345,-2.479631,Detached house,3.0,4.0,0.0,1.0,0.0,1,335000.0
1294,51.354393,-2.982905,Detached house,2.0,4.0,0.0,3.0,0.0,1,335000.0
1295,51.0578,-2.417803,Semi-detached house,1.0,3.0,0.0,1.0,0.0,4,225000.0
1296,51.00264,-3.082954,Terraced house,1.0,1.0,0.0,1.0,0.0,3,130000.0
1297,51.026695,-3.148068,End terrace house,1.0,3.0,0.0,2.0,0.0,2,200000.0
1298,51.240486,-2.998553,Flat,0.0,1.0,0.0,0.0,0.0,0,129950.0
1299,51.048943,-3.253219,Semi-detached house,2.0,3.0,0.0,1.0,0.0,4,270000.0
1300,50.883713,-2.79834,Terraced house,1.0,5.0,0.0,3.0,0.0,3,425000.0
1301,51.208675,-3.472963,Flat,1.0,3.0,0.0,1.0,0.0,0,325000.0
1302,50.897793,-2.769686,Detached bungalow,1.0,3.0,0.0,1.0,0.0,8,350000.0
1303,51.243355,-2.313543,Detached house,0.0,4.0,0.0,2.0,0.0,1,425000.0
1304,51.206593,-3.476977,Flat,0.0,1.0,0.0,0.0,0.0,0,125000.0
1305,51.04075,-3.191492,Terraced house,1.0,3.0,0.0,1.0,0.0,3,185000.0
1306,51.28628,-2.820402,Semi-detached house,1.0,3.0,0.0,1.0,0.0,4,235000.0
1307,51.266933,-2.2848080000000004,Terraced house,0.0,2.0,0.0,0.0,0.0,3,229950.0
